Dataset Name,Comment [Image File Path],Characteristics [Organism],Characteristics [Strain],Characteristics [Mating Type],Characteristics [Genotype],Assay Name,Experimental Condition [Treatment],Experimental Condition [Genotype],Comment [Gene Annotation Comments],Channels,Comment [Gene Identifier 1],Comment [Gene Identifier 2],Comment [Gene Symbol 1],Comment [Gene Symbol 2],Term Source Accession
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos0,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,0uM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos1,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,0uM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos2,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,0uM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos3,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,0uM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos4,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,0uM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos5,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3nM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos6,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3nM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos7,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3nM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos8,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3nM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3105/Pos9,Saccharomyces cerevisiae,YSP692,mating type a,pAGA1-dPSTRY; pFIG1-dPSTRR; Histone-CFP; bar1,YSP692_AGA1y_FIG1r_bar1D_DoseResponsePheromoneTreatment,3nM Pheromone at Time 0,pAGA1-dPSTRY; pFIG1-dPSTRR; bar1,Saccharomyces genome database,BF: Brightfield; CFP:nuclei; YFP: pAGA1-dPSTR; RFP:pFIG1-dPSTR; BF1: Brightfield out of focus,YNR044W,YBR040W,AGA1,FIG1,EFO_0001275
